source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,zone_id
The Arunachal Times,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,9998,07-04-2017 19:39,,Landslide in Daporijo,Landslide after rains that cause flooding throughout Daporijo wash away a dwelling,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",1km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,,,,,,07-06-2017 19:39,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.21263589,27.98531715,lower_subansiri_arunachal_pradesh
The Arunachal Times,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,9993,07-04-2017 19:39,,Landslide along Daporijo-Dumporijo road,Landslide after rains that cause flooding throughout Daporijo severely damage Daporijo-Dumporjio road,"Daporijo-Dumporijo road, Arunachal Pradesh, India",10km,landslide,rain,small,above_road,0.0,0.0,,,,,,,,,,,,07-06-2017 19:39,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.26296826,27.97875751,lower_subansiri_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/akddsu-mourns-students-death/,9829,06/19/2017 01:15:00 PM,,Landslide in Chimpu,"Landslide hits house, killing one",,1km,landslide,unknown,small,urban,1.0,,,,,,,,,,,,,06/22/2017 01:15:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6146564,27.06992579,papum_pare_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/pipeline-damaged-in-poma-water-crisis-lingers-on/,9743,06-04-2017 13:34,,Landslide near Itangar,"Landslide damaged a water pipe near Poma, outside of Itangar","Poma River, west of Itangar",5km,landslide,unknown,medium,natural_slope,0.0,0.0,,http://www.arunachaltimes.in/wp-content/uploads/2017/06/Pipeline-damaged-in-Poma-water-crisis-lingers-on-300x206.jpg,,,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.54235868,27.05909317,papum_pare_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/landslide-disrupts-water-supply-again/,9834,06/21/2017 06:51:00 PM,,Landslide in Itanagar,Landslide disrupts water supply pipeline,"Poma, 6km away from Itanagar",1km,landslide,rain,small,natural_slope,0.0,0.0,,http://www.arunachaltimes.in/wp-content/uploads/2017/06/Landslide-disrupts-water-supply-again.jpg,,,,,,,,,,06/22/2017 06:51:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.54136779,27.05880384,papum_pare_arunachal_pradesh
The Arunachal Times,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,9932,07-01-2017 15:17,,Landslide near Dree Festival Ground,Incessant rains trigger floods and landslides around Itanagar. The National Highway 415 road between Itanagar and Naharlagun is blocked as a large portion of the highway near Dree Ground was washed away early on Saturday morning.,"Dree Festival Ground, NH-415, Arunachal Pradesh, India",exact,landslide,downpour,medium,below_road,0.0,0.0,,http://www.arunachaltimes.in/wp-content/uploads/2017/07/Near-Dree-Ground-300x206.jpg,,,,,,,,,,07-03-2017 15:17,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.65975252,27.10647226,papum_pare_arunachal_pradesh
Arunachal Pradesh,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,9935,07-01-2017 15:17,,House in Itanagar washed away by landslide,Landslide completely destroys house in Sanglo Potum. No casualties as house was vacated immediately prior.,"Sanglo Potum (??), Itanagar, Papum Pare, Arunachal Pradesh",5km,landslide,continuous_rain,medium,natural_slope,0.0,0.0,,,,,,,,,,,,07-03-2017 15:17,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.60815652,27.08168565,papum_pare_arunachal_pradesh
The Arunachal Times,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,9933,06/30/2017 03:17:00 PM,,Landslide threatens orphanage with collapse,"Gyan Mission Orphanage at Jollang is also on the verge of caving in as a major chunk of earth was washed away by Friday night’s heavy rainfall throughout Itanagar, which caused numerous landslides and floods.","Jollang, Itanagar Sub-District, Papum Pare, Arunachal Pradesh, 791123",1km,landslide,downpour,medium,natural_slope,0.0,0.0,,,,,,,,,,,,07-03-2017 15:17,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.61899644,27.04768643,papum_pare_arunachal_pradesh
First Post,http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html,6971,06-09-2015 00:00,,"Itanagar, Arunachal Pradesh",Two people died while two others were seriously injured when their dwelling was hit by a landslide on Tuesday,"Itanagar, Arunachal Pradesh",5km,landslide,continuous_rain,medium,above_road,2.0,2.0,,,,glc,6971.0,India,IN,Arunachal Pradesh,44971.0,Itānagar,1.30114,06/25/2015 08:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.816,27.0987,papum_pare_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/,9168,06-12-2016 23:00,,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","Estimated location along road. Heavy rains on Sunday night triggered series of landslides between Ziro and Ripali, Tamen, 10Kms from Old Ziro, stranding the commuters for the entire day. However due to heavy rains, the restoration work had to be halted and will resume on Tuesday.","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",10km,landslide,downpour,medium,above_road,0.0,0.0,,http://www.arunachaltimes.in/wp-content/uploads/2016/06/Landslide-blocks-Ziro-Tamen-road-300x206.jpg,,glc,9168.0,India,IN,Arunachal Pradesh,13893.0,Ziro,6.29222,07/25/2016 05:45:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.871,27.6438,lower_subansiri_arunachal_pradesh
